,Job Salary,Job Experience Required,Key Skills,Role Category,Functional Area,Industry,Job Title
6495, Not Disclosed by Recruiter ,1 - 2 yrs, Accounts Executive,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Export, Import",Accounts Executive/Accountant
6496, Not Disclosed by Recruiter ,5 - 10 yrs, Product Support| Technical Support| Applications Support| ITIL,Admin/Maintenance/Security/Datawarehousing,"IT Software - Network Administration , Security","IT-Software, Software Services",Technical Support Engineer
6497,Openings: 5,1 - 5 Years,Capital Market|Communication Skills|Analytical Skills|Finance|US Shift|Financial Markets,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations",BPO / Call Centre / ITES,Associate/Senior Associate -(NonTechnical)
6499, Not Disclosed by Recruiter ,4 - 9 yrs, Administration| Credit Officers| Report Generation| Policies| Analysts| analytical skills| Risk Management,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Construction, Engineering, Cement, Metals",Taxation(Indirect) Manager
6500, Best in Industry ,2 - 7 yrs, lead generation| marketing| cold calling| bdm| crm| presentation skills| inside sales| email marketing| erp sales| crm sales| software sales| presales,Operations,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Business Development Manager
6501, Not Disclosed by Recruiter ,2 - 5 yrs, Automation| Consulting| Open source| Assurance| Access management| data security| Application security| Risk management| Analytics| Business operations,Programming & Design,"IT Software - Application Programming , Maintenance","Strategy, Management Consulting Firms",Project Lead
6502, Not Disclosed by Recruiter ,8 - 12 yrs, Procurement| TPM| Computer science| Web services| Enterprise architecture| Technical design| Customer experience| Research| Recruitment,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","IT-Software, Software Services",Product Development Manager
6503, Not Disclosed by Recruiter ,2 - 5 yrs, Engineering Procurement| Water Supply| Civil| Mechanical| Electricals,Purchase/Material Management,"Supply Chain , Logistics , Purchase , Materials","Water Treatment, Waste Management",Purchase Executive
6504, Not Disclosed by Recruiter ,5 - 8 yrs, .Net| ASP| C#| Node JS| RabbitMQ| Git| SVN| HTML| CSS| JavaScript| jQuery,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
6505, Not Disclosed by Recruiter ,1 - 3 yrs, area| customer relationship| android| telecom| handling| sales,Retail Sales,"Sales , Retail , Business Development","Internet, Ecommerce",Sales Executive/Officer
6506, Not Disclosed by Recruiter ,10 - 12 yrs, Teaching| Educator| Counselor| Mentor| Trainer| Advisor,University Level,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Assistant Professor
6507, Not Disclosed by Recruiter ,2 - 7 yrs,java j2ee| sql server| application development| development| software| customize| asp net| sql| application| web| j2ee| applications| sr,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
6508, Not Disclosed by Recruiter ,1 - 5 yrs, Computer science| C++| Email| Policies| Simulation| Linux| Software support| Tools| Customer support| Python,Programming & Design,"IT Software - Application Programming , Maintenance","Media, Entertainment, Internet",Software Developer
6509, Not Disclosed by Recruiter ,4 - 9 yrs, Oracle| PeopleSoft| SOA| PLSQL| Soft skills| Database| Manager Technology| Corporate training| Business Executive| Administration,Other,IT Software - Other,"IT-Software, Software Services",Trainer/Faculty
6510, Not Disclosed by Recruiter ,5 - 8 yrs, spring boot| Hibernate| Core Java| Interpersonal skills| Architecture| Javascript| JSON| Scrum| Unit testing| SQL,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
6513, Not Disclosed by Recruiter ,2 - 7 yrs, Graphic designing| Photoshop| Corel Draw| Illustrator| Digital design| Project delivery| Matrix| Web designing| Project development,Creative,"Design , Creative , User Experience","IT-Software, Software Services",Graphic Designer
6514, Not Disclosed by Recruiter ,6 - 10 yrs, Project development| Technical Expert| Finance| Presales| Sales,Corporate Sales,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales/Business Development Manager
6515, Not Disclosed by Recruiter ,2 - 5 yrs,mis| audit| l2| forms| attendance management| co ordination| organization| organizational| quality,Programming & Design,"IT Software - Application Programming , Maintenance","Strategy, Management Consulting Firms",Team Lead/Technical Lead
6516, Not Disclosed by Recruiter ,2 - 7 yrs, coordinating| s| brand promoti| executive| admissis| programmes| placements| be| placement,Marketing,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Marketing Manager
6517, Best in the Industry ,4 - 7 yrs, Predictive Analytics| Data Analysis| Data Mining| Advanced Excel| Macros| Data Reporting| Dashboards| Data Modeling| Data Collection| Quality Standards,Operations,"ITES , BPO , KPO , LPO , Customer Service , Operations","KPO, Research, Analytics",Process Flow Analyst
6518, Not Disclosed by Recruiter ,6 - 11 yrs, Purchase| Vendor Development| E - sourcing| Raw Material Procurement| E - procurement| Sourcing| Ariba| Vendor Management| Negotiation| Cost Reduction| procurement| Analyst| pharma| supply chain| Analytics| Analysis| Data Analysis,Corporate Planning/Consulting/Strategy,"Strategy , Management Consulting , Corporate Planning","Strategy, Management Consulting Firms",Corporate Planning/Strategy Manager
6519,"2,00,000 - 3,50,000 PA.",2 - 6 yrs, Hospital Marketing,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Administration Services/Medical Facilities
6520, Not Disclosed by Recruiter ,2 - 7 yrs, Product management| Stress testing| CVS| RFPS| Analytical| Information security| Risk management| RFP| Analytics| Recruitment,Other,"IT Software - Application Programming , Maintenance","KPO, Research, Analytics",Outside Consultant
6521,"2,50,000 - 5,00,000 PA.",2 - 6 yrs, Creo| Windchill,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Automobile, Auto Anciliary, Auto Components",Design Engineer/Manager
6522,"7,00,000 - 17,00,000 PA.",4 - 9 yrs, back office operations| business case| business process| automation tools| record to report| change control| writing skills| data collection,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
6524, Not Disclosed by Recruiter ,2 - 3 yrs, Sales Presentations| Marketing| Sales Executive Activities| Lead Generation| Sales Strategy| Sales Process| Product Service,Retail Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Sales Executive/Officer
6525, Not Disclosed by Recruiter ,1 - 4 yrs,Javascript| CSS3| jQuery mobile| Web technologies| Interpersonal skills| Building| bootstrap| Creative| html5| OOPS,Programming & Design,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Graphic/Web Designer
6526, Not Disclosed by Recruiter ,5 - 9 yrs, Automation| Analytical| Trend analysis| Risk management| MS Office| Fraud detection| fraud investigation| Team building| Monitoring| Product support,Senior Management,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Head/VP/GM-Finance/Audit
6527, Not Disclosed by Recruiter ,7 - 12 yrs, Team Management| Sales| Accounting| Service Delivery Management| SBU| Problem Solving| Account Management| Service Strategy| New Business| Stakeholder Management,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
6528, Not Disclosed by Recruiter ,0 - 3 yrs, Marketing Executive| Social media| Monitoring| Ideas| Tracking| MS Office tools| CRM| Effective Communication| Area sales| Client relationship,Marketing,"Marketing , Advertising , MR , PR , Media Planning","Industrial Products, Heavy Machinery",Direct Marketing Executive
6529, Not Disclosed by Recruiter ,7 - 10 yrs, SQL| jQuery| MVC| Healthcare| Technical Lead| OOPS| C,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
6530, Not Disclosed by Recruiter ,0 - 5 yrs, remediation| Senior Analyst| External audit| corporate audit| Investigation| Investment banking| Management| Financial services| Auditing,Finance/Audit,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Finance/Budgeting Manager
6531, Not Disclosed by Recruiter ,2 - 4 yrs, Product design| Project management| Cost estimation| Project planning| Monitoring| Project scheduling| Management| Administration| Database,Engineering Design,"Engineering Design , R&D","Recruitment, Staffing",Technical Lead/Project Lead
6532, Not Disclosed by Recruiter ,10 - 12 yrs, Teaching| Educator| Counselor| Mentor| Trainer| Advisor,University Level,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Assistant Professor
6534, Not Disclosed by Recruiter ,5 - 10 yrs, BPO| HR administration| ERP| Staffing| Labour laws| Consulting| MEP| Outsourcing| Recruitment,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
6535, Not Disclosed by Recruiter ,8 - 10 yrs, Trial Balance| aop| financial reporting| accounting| balance sheet finalisation| MIS Reporting,Finance/Audit,"Accounts , Finance , Tax , Company Secretary , Audit","Automobile, Auto Anciliary, Auto Components",Finance Executive
6536, Not Disclosed by Recruiter ,1 - 2 yrs, Actuarial,Life Insurance/Financial Services,"Financial Services , Banking , Investments , Insurance","KPO, Research, Analytics",Actuary Manager
6537, Not Disclosed by Recruiter ,5 - 9 yrs, Direct sales| Branch banking| Analytics| People management skills| Consumer finance| Retail finance| Market research| unsecured loans| Personal loans,Finance/Audit,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Credit/Control Manager
6539, Not Disclosed by Recruiter ,14 - 19 yrs, Accountancy| Policies| Debt| Business expansion| public sector| Corporate finance| Fund raising| Financial services| Private equity| Auditing,Senior Management,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Head/VP/GM-Finance/Audit
6540, Not Disclosed by Recruiter ,10 - 15 yrs, ERP| MS Data management| MIS| Reports| HR Policies| Recruitment| Talent Acquisition| Talent Management| Human Resources | Head HR CRD,Senior Management,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Head/VP/GM-HR
6541,"1,50,000 - 2,25,000 PA.",1 - 2 yrs, Salary| Bengali| Incentives| Hiring| Domestic BPO| HR| Collections,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
6542, Not Disclosed by Recruiter ,8 - 10 yrs, Construction| Project Management| Project Planning| Villas,Project Management,"Site Engineering , Project Management","Construction, Engineering, Cement, Metals",Project Manager-Production/Manufacturing/Maintenance
6543, Not Disclosed by Recruiter ,5 - 7 yrs, industrial sales| Project Sales| Institutional Sales| Business Consulting| Channel Distribution,Retail Sales,"Sales , Retail , Business Development","Oil and Gas, Energy, Power, Infrastructure",Sales/Business Development Manager
6545, Not Disclosed by Recruiter ,3 - 8 yrs, Client handling| Proposal writing| Online bidding,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","Media, Entertainment, Internet",Assistant Manager/Manager-(NonTechnical)
6546, Not Disclosed by Recruiter ,8 - 12 yrs, marketing executive| distributors| customer profiling| market research| Business Development| sales executive,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
6547, Not Disclosed by Recruiter ,2 - 4 yrs, Account management| Relationship management| Networking| microsoft| Adobe| Industrial design| data science| Database| Sales| Manager Technology,Corporate Sales,"Sales , Retail , Business Development","Architecture, Interior Design",Client Servicing/Key Account Manager
6548, Not Disclosed by Recruiter ,2 - 5 yrs, Management accounting| Senior management| Conflict management| Accounting| Financial services,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Chartered Accountant
6549,"50,000 - 3,00,000 PA.",1 - 6 yrs, Cooking| Written Communication| Commis Chef| Kitchen| Shift Management| Guest Service| Restaurant Management| Stock Inventory,Food & Beverage,"Hotels , Restaurants","FMCG, Foods, Beverage",Commis
6550, Not Disclosed by Recruiter ,0 - 2 yrs, English| Architecture| Analytical| Computer science| NoSQL| java| Cassandra| Hadoop| AWS| xmpp| Business Executive,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
6551, Not Disclosed by Recruiter ,1 - 3 yrs, Computer hardware| Networking| MS Office| Hardware networking| IT support| Hardware| HR| it| microsoft,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
6552,"1,75,000 - 2,50,000 PA.",1 - 4 yrs, Tally| Brs| Compliance| Accounting| Gst| Balance Sheet| Auditing,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Real Estate, Property",Accounts Executive/Accountant
6553,Openings: 1,6 - 10 Years,Technical Evaluation|Data Management|Site Selection|Clinical Development|Sop Preparation|Site Monitoring,R&D,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology",Pharma / Biotech / Clinical Research,Clinical Research Associate/Scientist
6554, Not Disclosed by Recruiter ,1 - 5 yrs, Business analysis| Business process| ERP| Printing| Business case| Management| Architecture| Relationship| Training,System Design/Implementation/ERP/CRM,"IT Software - ERP , CRM","Recruitment, Staffing",Outside Technical Consultant
6555, Not Disclosed by Recruiter ,2 - 4 yrs, Formulation development| Project management| Pharma| Pharmacy| Data collection| Biochemistry| Research| Project delivery,Project Management,"Site Engineering , Project Management","Pharma, Biotech, Clinical Research",Project Manager-Production/Manufacturing/Maintenance
6556, Not Disclosed by Recruiter ,2 - 5 yrs, Unix| Maven| Hibernate| PERT| GIT| Advanced Java| Agile| Continuous improvement| mockito| Spring,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
6557, Not Disclosed by Recruiter ,2 - 5 yrs, Business Strategy| Competitor Analysis| Analytical Skills| Mis Reporting| Programming| Qlikview| Business Objects| Management| Operations,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Assistant Manager/Manager-(NonTechnical)
6558,"1,00,000 - 2,00,000 PA.",0 - 2 yrs, Interview Coordination| Screening| Administration| Staffing| Hiring| HR| Benefits| Interviewing,Other,"Teaching , Education , Training , Counselling","Internet, Ecommerce",Other
6559, Not Disclosed by Recruiter ,3 - 8 yrs,jQuery| PDF| Software development life cycle| .Net| HTML| MVC| IT management| SQL| Ajax| CSS3,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
6560, Not Disclosed by Recruiter ,0 - 1 yrs, Technical support| Outbound| Antivirus| Comp| Technical| Sales| US shift| Inbound calls| Medical,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
6561,"1,25,000 - 1,50,000 PA.",1 - 2 yrs, HR Administration| Office Assistance| HR Assistance| Administration Assistant| admin assistant| executive assistant,Administration/Facility Management,"HR , Recruitment , Administration , IR","Real Estate, Property",Executive/ Sr Executive - Administration
6562, Not Disclosed by Recruiter ,3 - 8 yrs,Client Relationship| Lead Generation| cold calling| Target Achievement| B2B Sales| Channel Sales,Retail Sales,"Sales , Retail , Business Development","Education, Teaching, Training",Sales/Business Development Manager
6563, Not Disclosed by Recruiter ,3 - 7 yrs, Unix| Linux| MySQL| Computer science| Software design| DNS| Data structures| Perl| HTTP| Python,Programming & Design,"IT Software - Application Programming , Maintenance","Office Equipment, Automation",Software Developer
6564,"1,00,000 - 3,00,000 PA.",1 - 6 yrs, Graphic Designing,Creative,"Design , Creative , User Experience","Travel , Hotels , Restaurants , Airlines , Railways",Graphic Designer
6565,"1,00,000 - 2,00,000 PA.",0 - 3 yrs, inbound| kannada| call center| Bpo Non Voice| tamil| service desk| malayalam| outbound| Chat| bpo| bba| domestic bpo| btech| Non Voice Process| freshers| Semi Voice| ites| kpo| helpdesk| bcom| ba,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
6566, Not Disclosed by Recruiter ,10 - 15 yrs, ABAP| FICO| Troubleshooting| SEM| Debugging| Logistics| Business process| Solution architecture| Biw| Microsoft Excel,System Design/Implementation/ERP/CRM,"IT Software - ERP , CRM","Strategy, Management Consulting Firms",Business Analyst
6567, Not Disclosed by Recruiter ,2 - 5 yrs, Six Sigma| .NET| Python| assembly language| java| JavaScript| HTML| developer| Oracle| hibernate| SQL,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
6568, Not Disclosed by Recruiter ,2 - 7 yrs, php mysql| mca| ajax| javascript| firewall| web| linux| voip| zend| php| html| telecom| mysql,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
6569, Not Disclosed by Recruiter ,5 - 10 yrs, Printing| Business Development Manager| Packaging| Senior Marketing Executive| Sales| Senior Executive| Marketing planning| Consultancy| HRD,Retail Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager
6570, Not Disclosed by Recruiter ,5 - 8 yrs, HR| Manpower Planning,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Chemicals, PetroChemical, Plastic, Rubber",HR Executive
6572, Not Disclosed by Recruiter ,8 - 10 yrs, Accounts| Finance| Tax| Company Secretar| Accounts Manager,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Internet, Ecommerce",Accounts Manager
6573,"1,75,000 - 3,75,000 PA.",0 - 1 yrs, International BPO| Call Center| Non Voice Process| Customer Care| Calling| Domestic| inbound| voice process| international call center| BPO| KPO| LPO| Domestic BPO,Other,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Fresher
6574,Not Disclosed by Recruiter,2 - 4 Years,drc|tool design|product engineering|physical design|application engineering|process design|automation engineering|process integration|testing tools|p - cell coding|layout generation,IT Hardware,"IT Hardware , Technical Support , Telecom Engineering",Semiconductors / Electronics,Hardware Design Engineer
6575, Not Disclosed by Recruiter ,6 - 10 yrs,Html5| Javascript| CSS| Front End| Web Technologies| Mobile Applications| Application Development| Technology Consulting| Career Development| Design Development,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
6576, Not Disclosed by Recruiter ,3 - 5 yrs, Relationship| Education| Service| English| CV| Email| Visa| Asterisk| Business Executive| level,Retail Sales,"Sales , Retail , Business Development","Education, Teaching, Training",Sales/Business Development Manager
6577,"2,00,000 - 4,00,000 PA.",2 - 4 yrs, process training| operations management| team motivation| bhm| restaurant| hospitality management| qsr| security| hospitality| hotel| hotel management| action plan,Retail Sales,"Sales , Retail , Business Development","Media, Entertainment, Internet",Retail Store Manager
6578, Not Disclosed by Recruiter ,0 - 1 yrs, Sales| financial products| Customer service| Management| banking products,Card Products,"Financial Services , Banking , Investments , Insurance","BPO, Call Centre, ITeS",Business Alliances Manager
6579, Not Disclosed by Recruiter ,3 - 8 yrs, Hibernate| Advanced Java| Design Development| Javascript| Spring Boot,Programming & Design,IT Software - Other,"IT-Software, Software Services",Software Developer
6580, Not Disclosed by Recruiter ,1 - 3 yrs, knowledge of| Javascript| MVC| AngularJS| jQuery| frameworks| mvc| javascript,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
6582, Not Disclosed by Recruiter ,1 - 6 yrs, Social media| Content writing| Printing| Digital media| Content management| Proof reading| Content development| Web content| Analytical research| Online media,Creative,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Copywriter
6583,"1,25,000 - 3,00,000 PA.",1 - 4 yrs, etp| wtp| effluent treatment plant| Technical Sales| water treatment plant| Waste Water Treatment| O & M| process engineer| stp,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Water Treatment, Waste Management",Service/Maintenance Engineer
6584, Not Disclosed by Recruiter ,5 - 10 yrs, Business planning| Analytical| Budgeting| MS Office| Financial reporting| Finance| Financial statements| Excel| Sales| Advanced Excel,Retail Sales,"Sales , Retail , Business Development","Education, Teaching, Training",Regional Manager
6585,"1,75,000 - 2,25,000 PA.",1 - 3 yrs, Communication Skills| Excel| Mail| Payment Collection| Phone| MS Office Word| Recovery| Strategic Planning,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Pharma, Biotech, Clinical Research",Telecalling/Telemarketing Executive
6586, Not Disclosed by Recruiter ,6 - 10 yrs, horeca sales| International sales| Regional sales| E-commerce| Customer Support Executive,Retail Sales,"Sales , Retail , Business Development",Food Processing,Regional Manager
6587, Not Disclosed by Recruiter ,5 - 9 yrs, Data migration| SSRS| CTI| Microsoft Dynamics| Unit testing| Outsourcing| Business strategy| Operations| SQL| CRM,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
6588,"2,00,000 - 6,00,000 PA.",0 - 5 yrs, customer service| voice process| international bpo| captive unit| communication skills| international voice process| customer care| Customer Care Executive| cce| UK Process| US PROCESS| BPO| Call Center| International Call Center,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
6589, Not Disclosed by Recruiter ,0 - 0 yrs, Business Analyst,Other,"IT Software - ERP , CRM","Fresher, Trainee, Entry Level",Fresher
6590,"5,00,000 - 6,00,000 PA.",0 - 1 yrs, chartered accountant| Finance| gst| accounting| audit| Taxation| tally| ca,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance",Chartered Accountant
6591, Not Disclosed by Recruiter ,5 - 10 yrs, Pega| PRPC| Pega PRPC| Detail Design| Software Development| Business Applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
6592,"2,75,000 - 5,00,000 PA.",1 - 3 yrs, Assistant Project Manager| Project Management| Project Coordination| IT Project Management| IT Services,Operations,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Business/EDP Analyst
6594, Not Disclosed by Recruiter ,0 - 5 yrs,bpo| front desk| voice| telecaller| call centre| bde| international bpo| csr| cce| sales| marketing| b2b| front office| outbound| lead generation| telesales| reception| guest relation| telemarketing,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Travel , Hotels , Restaurants , Airlines , Railways",Telecalling/Telemarketing Executive
6595,"1,50,000 - 2,75,000 PA.",1 - 5 yrs,Sales Management| Business Development Management| Sales Development| Sales Executive Activities| Relationship Management| Team Leading| Team Handling| Agency Sales| Bancassurance Sales| Direct Sales| corporate sales| Field Sales| Banking| B2B Sales| b2c sales,Retail Sales,"Sales , Retail , Business Development",Insurance,Sales/Business Development Manager
6596,"2,00,000 - 2,50,000 PA.",0 - 2 yrs, voice| CRO| Customer Service| cce| inbound| sales| Telecalling| leadership| Computer| Domestic BPO| backend| communication| bpo| back office| customer care| personal| team| Non Voice| Voice Process| Data Entry| phone banking| cse| management| Call Center,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Banking, Financial Services, Broking",Associate/Senior Associate -(NonTechnical)
6597, Not Disclosed by Recruiter ,2 - 7 yrs, Content| Content Developer| Editing| Journalism,Content Development,"Journalism , Editing , Content","IT-Software, Software Services",Content Developer
6598,"2,50,000 - 5,00,000 PA.",4 - 8 yrs, Sales Management,Retail Sales,"Sales , Retail , Business Development","Courier, Transportation, Freight , Warehousing",Sales/Business Development Manager
6599, Not Disclosed by Recruiter ,7 - 10 yrs, Associate Manager / Manager Data Scientist,R&D,"Engineering Design , R&D","Recruitment, Staffing",Product Development Manager
6600, Not Disclosed by Recruiter ,6 - 10 yrs, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Other,"Production , Manufacturing , Maintenance","Construction, Engineering, Cement, Metals",Trainee
6601,"2,50,000 - 5,00,000 PA.",0 - 2 yrs, Medical Microbiology| GNM| Bsc Microbiology| medical coding| Nursing| Bsc Nursing| Staff Nurse| medical coder| Medical| Nurse,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Intern
6603, Not Disclosed by Recruiter ,1 - 6 yrs, Sales| MIS| Client engagement| Sales Coordinator| Order processing| Telemarketing| Lead management| Analytics,Retail Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Sales Executive/Officer
6604, Not Disclosed by Recruiter ,5 - 8 yrs, Electronics| Instrumentation| MS Office| Techno-commercial| Business Executive,Corporate Sales,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Sales/Business Development Manager
6605, Not Disclosed by Recruiter ,9 - 13 yrs, Javascript| HTML| Ajax| Front end| Business analytics| Issue resolution| Business solutions| Ruby| Operations| Monitoring,Programming & Design,"IT Software - Application Programming , Maintenance","Telcom, ISP",Software Developer
6606, Not Disclosed by Recruiter ,2 - 5 yrs, C| Python| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
6607, Not Disclosed by Recruiter ,12 - 15 yrs, Java| C++| C| OS| LLD| Web Technologies| Programming| Languages| Middleware| Linux| Software Engineering| Firmware| Embedded| Web Services,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
6608,"1,00,000 - 4,00,000 PA.",0 - 4 yrs,google adwords| voice process| international bpo| customer care executive| dell| b2b| b2c| technical support| customer support| technical sales| teleperformance| adwords| upselling| collections| ENCORE,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
6610,"2,00,000 - 7,00,000 PA.",0 - 5 yrs, Wipro| chat process| hp| british telecom| bt| fresher| voice process| exl| international call center| non voice| backend| bpo| barclays| back office| customer support| dell| amazon| HCL| ibm| accenture| wns,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
6611, Not Disclosed by Recruiter ,0 - 3 yrs, Recruitment Executive| Recruitment Associate| Excel| Web technologies,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Retail, Wholesale",Recruitment Executive
6612,"1,25,000 - 5,00,000 PA.",0 - 5 yrs, cce| customer service| barclays| amex| cvent| american express| non voice| voice| chat| technical support| manager,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
6613, Not Disclosed by Recruiter ,5 - 10 yrs, Tally| Reconciliation| Billing| Accounts Executive| Debit note| Excel| Management accounting| Auditing| Management,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Telcom, ISP",Accounts Executive/Accountant
6614, Not Disclosed by Recruiter ,1 - 3 yrs, Administration| Automation| Automation testing| Testing tools| Programming| Selenium| Application software| Enterprise software| Testing,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Testing Engineer
6615, Not Disclosed by Recruiter ,2 - 3 yrs, Sourcing Profiles| Screening| Interview Scheduling| Joining Formalities| Hiring| Interviewing| Confirmation| Recruitment| Onboarding| Background Verification,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","BPO, Call Centre, ITeS",HR Executive
6616, Not Disclosed by Recruiter ,5 - 10 yrs, BPO| BPO Executive| outbound calling| UK Shift,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Real Estate, Property",Associate/Senior Associate -(NonTechnical)
6617, Not Disclosed by Recruiter ,5 - 8 yrs, marketing executive| distributors| customer profiling| sales strategy| market research| Business Development| sales executive,Marketing,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Product/Brand Manager
6618, Not Disclosed by Recruiter ,12 - 18 yrs, marketing| brand awareness| sales| branding| digital advertising| campaigns| events| research,Senior Management,"Marketing , Advertising , MR , PR , Media Planning","FMCG, Foods, Beverage",Head/VP/GM-Marketing
6619, Not Disclosed by Recruiter ,15 - 18 yrs, Engineering services| Staad| AutoCAD| ASTM| Consulting| REVIT| Finite element analysis| Asce| Structural analysis| New business development,Engineering Design,"Engineering Design , R&D","BPO, Call Centre, ITeS",Design Engineer
6620,"50,000 - 3,00,000 PA.",0 - 4 yrs, outbound sales| outbound| telecalling| telesales| serco| credit cards| Backend| non voice| fresher| bpo| voice process| domestic bpo| call center| international call center,Other,"ITES , BPO , KPO , LPO , Customer Service , Operations","Fresher, Trainee, Entry Level",Fresher
